frame, face_id, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 0.00, 0.00, 0.78, 0.37, 0.00, 0.90, 0.00, 0.00, 0.69, 1.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.14, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
2, 0, 0.038, 0.98, 1, 0.00, 0.00, 0.78, 0.12, 0.00, 0.89, 0.00, 0.00, 0.70, 1.65, 0.00, 0.00, 0.00, 0.00, 0.00, 0.05, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
3, 0, 0.075, 0.98, 1, 0.00, 0.00, 0.74, 0.18, 0.00, 0.61, 0.00, 0.00, 0.64, 1.66, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.39, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
4, 0, 0.113, 0.98, 1, 0.00, 0.00, 0.77, 0.34, 0.00, 0.49, 0.00, 0.00, 0.58, 1.54, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
5, 0, 0.151, 0.98, 1, 0.00, 0.00, 0.83, 0.34, 0.00, 0.54, 0.00, 0.00, 0.70, 1.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.07, 0.79, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
6, 0, 0.189, 0.98, 1, 0.00, 0.00, 0.93, 0.16, 0.00, 1.02, 0.00, 0.00, 0.87, 1.00, 0.00, 0.00, 0.00, 0.00, 0.04, 0.14, 0.45, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
7, 0, 0.226, 0.98, 1, 0.00, 0.00, 0.94, 0.00, 0.00, 1.24, 0.00, 0.01, 1.00, 0.81, 0.00, 0.00, 0.00, 0.00, 0.03, 0.29, 0.10, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
8, 0, 0.264, 0.98, 1, 0.00, 0.00, 0.88, 0.09, 0.00, 1.42, 0.00, 0.01, 0.96, 0.82, 0.00, 0.00, 0.00, 0.00, 0.03, 0.31, 0.13, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00
9, 0, 0.302, 0.98, 1, 0.00, 0.00, 0.87, 0.13, 0.00, 1.40, 0.00, 0.01, 0.96, 0.83, 0.00, 0.00, 0.00, 0.00, 0.06, 0.39, 0.09, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
10, 0, 0.340, 0.98, 1, 0.00, 0.00, 0.76, 0.13, 0.00, 1.38, 0.00, 0.03, 0.90, 1.01, 0.00, 0.00, 0.00, 0.00, 0.15, 0.35, 0.03, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
11, 0, 0.377, 0.98, 1, 0.00, 0.00, 0.53, 0.04, 0.00, 1.28, 0.00, 0.03, 0.80, 1.18, 0.00, 0.00, 0.00, 0.00, 0.22, 0.29, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
12, 0, 0.415, 0.98, 1, 0.00, 0.00, 0.27, 0.00, 0.00, 1.27, 0.00, 0.03, 0.68, 1.22, 0.00, 0.00, 0.00, 0.00, 0.16, 0.14, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
13, 0, 0.453, 0.98, 1, 0.00, 0.00, 0.22, 0.06, 0.00, 1.43, 0.00, 0.00, 0.70, 1.12, 0.00, 0.00, 0.00, 0.00, 0.07, 0.10, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
14, 0, 0.491, 0.98, 1, 0.00, 0.00, 0.36, 0.19, 0.00, 1.29, 0.00, 0.00, 0.67, 1.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
15, 0, 0.528, 0.98, 1, 0.00, 0.00, 0.47, 0.19, 0.11, 1.24, 0.00, 0.18, 0.75, 1.25, 0.00, 0.00, 0.00, 0.00, 0.20, 0.40, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
16, 0, 0.566, 0.98, 1, 0.00, 0.00, 0.50, 0.14, 0.23, 1.22, 0.00, 0.36, 0.77, 1.38, 0.00, 0.00, 0.00, 0.00, 0.35, 0.50, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
17, 0, 0.604, 0.98, 1, 0.00, 0.00, 0.47, 0.00, 0.25, 1.31, 0.00, 0.50, 0.88, 1.54, 0.00, 0.00, 0.00, 0.00, 0.35, 0.40, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00
18, 0, 0.642, 0.98, 1, 0.00, 0.00, 0.47, 0.00, 0.15, 1.12, 0.00, 0.50, 0.82, 1.29, 0.00, 0.00, 0.00, 0.00, 0.15, 0.18, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
19, 0, 0.679, 0.98, 1, 0.00, 0.00, 0.48, 0.00, 0.03, 0.82, 0.00, 0.51, 0.77, 1.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
20, 0, 0.717, 0.98, 1, 0.00, 0.00, 0.45, 0.00, 0.00, 0.78, 0.00, 0.42, 0.71, 1.12, 0.00, 0.00, 0.00, 0.00, 0.02, 0.12, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
21, 0, 0.755, 0.98, 1, 0.00, 0.00, 0.43, 0.00, 0.00, 0.74, 0.00, 0.25, 0.66, 1.33, 0.00, 0.00, 0.00, 0.00, 0.02, 0.27, 0.05, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 1.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00
