,participant,frame,pose,hand_left,hand_right,leftHandTouching,rightHandTouching
528,p_56,0,"[200.21, 90.1753, 0.893574, 185.328, 130.963, 0.791995, 145.888, 126.891, 0.826979, 126.911, 179.922, 0.782922, 120.114, 196.191, 0.780048, 223.386, 135.005, 0.845754, 245.208, 189.367, 0.864106, 266.864, 200.255, 0.881009, 186.711, 222.04, 0.744738, 162.225, 222.032, 0.713404, 158.119, 275.03, 0.792411, 182.6, 385.163, 0.707865, 211.143, 222.037, 0.779678, 250.546, 275.044, 0.728109, 241.073, 389.223, 0.680099, 190.719, 80.6422, 0.931494, 205.707, 80.6776, 0.891521, 175.806, 80.6219, 0.858202, 212.529, 80.7185, 0.278309, 253.309, 427.26, 0.598481, 262.821, 420.474, 0.644432, 231.554, 397.387, 0.512545, 220.655, 412.285, 0.53644, 203.015, 412.323, 0.508975, 179.875, 394.607, 0.41117]","[269.927, 201.269, 0.444319, 265.844, 202.773, 0.615774, 261.761, 206.641, 0.715941, 261.332, 213.303, 0.692966, 262.191, 220.18, 0.580203, 275.73, 204.707, 0.602898, 273.151, 215.882, 0.640778, 268.638, 224.048, 0.634195, 267.134, 228.561, 0.558315, 280.027, 206.641, 0.578296, 275.3, 219.32, 0.736314, 271.432, 220.824, 0.507721, 269.713, 219.535, 0.368753, 281.962, 209.005, 0.742885, 278.738, 219.965, 0.544021, 274.87, 220.395, 0.534657, 272.506, 218.246, 0.376808, 283.251, 211.154, 0.584188, 281.747, 220.18, 0.595933, 278.308, 220.18, 0.464987, 276.589, 218.246, 0.41663]","[115.805, 199.701, 0.347423, 121.384, 201.767, 0.531903, 126.963, 205.693, 0.732057, 129.649, 212.098, 0.688423, 131.922, 218.71, 0.756611, 116.838, 203.42, 0.350611, 114.152, 214.371, 0.502348, 115.185, 223.256, 0.551943, 116.012, 228.628, 0.494283, 111.879, 203.627, 0.330346, 109.193, 215.198, 0.436347, 110.226, 223.876, 0.560239, 112.499, 227.595, 0.344411, 109.193, 206.726, 0.324875, 105.68, 215.198, 0.382025, 108.573, 222.429, 0.300045, 111.466, 226.149, 0.289773, 108.573, 209.205, 0.2209, 106.3, 214.578, 0.20471, 105.887, 219.33, 0.188991, 107.127, 220.776, 0.178769]",False,False
1128,p_56,1,"[200.211, 90.1744, 0.893641, 185.327, 130.964, 0.792177, 145.888, 126.892, 0.826835, 126.913, 179.929, 0.784933, 120.11, 196.192, 0.780809, 223.385, 135.004, 0.845793, 245.209, 189.367, 0.864144, 266.863, 200.25, 0.880409, 186.707, 222.039, 0.744045, 162.221, 222.031, 0.713671, 158.12, 275.032, 0.792154, 182.601, 385.165, 0.706468, 211.14, 222.036, 0.779343, 250.545, 275.044, 0.727885, 241.081, 389.223, 0.682041, 190.719, 80.6418, 0.931225, 205.707, 80.6777, 0.891487, 175.807, 80.621, 0.857963, 212.528, 80.7165, 0.274892, 253.301, 427.259, 0.598937, 262.818, 420.476, 0.6442, 231.563, 397.384, 0.520295, 220.647, 410.968, 0.53795, 203.017, 412.323, 0.508426, 179.88, 394.608, 0.408257]","[269.927, 201.262, 0.444002, 265.844, 202.767, 0.612306, 261.76, 206.635, 0.713928, 261.331, 213.297, 0.691633, 262.19, 220.173, 0.583871, 275.729, 204.701, 0.608481, 273.15, 215.875, 0.637878, 268.637, 224.041, 0.634604, 267.133, 228.554, 0.553318, 280.027, 206.635, 0.573925, 275.299, 219.314, 0.73694, 271.431, 220.818, 0.505334, 269.712, 219.529, 0.36824, 281.961, 208.999, 0.745576, 278.522, 219.958, 0.542689, 274.869, 220.388, 0.530609, 272.29, 218.239, 0.375303, 283.25, 211.148, 0.586557, 281.746, 220.388, 0.600685, 278.308, 220.173, 0.463535, 276.588, 218.239, 0.419125]","[115.798, 199.699, 0.345659, 121.378, 201.765, 0.534212, 126.957, 205.898, 0.730624, 129.643, 212.097, 0.688205, 131.916, 218.71, 0.75961, 116.832, 204.038, 0.315011, 114.145, 215.404, 0.511527, 115.178, 223.876, 0.657038, 116.005, 228.835, 0.565485, 111.666, 204.038, 0.300514, 109.186, 215.61, 0.430756, 110.219, 223.876, 0.559168, 112.492, 227.595, 0.341634, 108.979, 206.931, 0.323559, 105.673, 215.404, 0.37433, 108.566, 222.429, 0.304029, 111.666, 225.942, 0.311988, 108.773, 209.618, 0.22063, 106.293, 214.37, 0.214892, 106.706, 217.677, 0.20205, 107.326, 220.776, 0.196121]",False,False
1338,p_56,2,"[200.211, 90.1744, 0.893651, 185.327, 130.964, 0.792166, 145.887, 126.892, 0.826822, 126.913, 179.929, 0.784894, 120.11, 196.192, 0.780806, 223.385, 135.004, 0.845856, 245.212, 189.365, 0.86326, 266.864, 200.252, 0.881722, 186.707, 222.039, 0.744032, 162.222, 222.031, 0.713675, 158.12, 275.032, 0.792036, 182.601, 385.165, 0.706455, 211.14, 222.036, 0.779351, 250.545, 275.044, 0.727683, 241.081, 389.224, 0.682039, 190.719, 80.6418, 0.931248, 205.707, 80.6777, 0.891547, 175.807, 80.621, 0.85792, 212.528, 80.7165, 0.27505, 253.301, 427.259, 0.598939, 262.818, 420.476, 0.644189, 231.563, 397.384, 0.520071, 220.647, 410.968, 0.537856, 203.017, 412.323, 0.508386, 179.88, 394.608, 0.40837]","[269.927, 201.266, 0.440996, 265.844, 202.77, 0.611488, 261.761, 206.638, 0.712541, 261.331, 213.3, 0.691662, 262.191, 220.176, 0.581244, 275.514, 204.704, 0.607284, 273.15, 215.878, 0.641728, 268.637, 224.044, 0.632212, 267.133, 228.557, 0.55737, 280.027, 206.638, 0.573244, 275.299, 219.317, 0.737138, 271.431, 221.036, 0.500292, 269.712, 219.532, 0.362615, 281.961, 209.002, 0.744915, 278.523, 219.961, 0.542324, 274.869, 220.391, 0.530302, 272.291, 218.242, 0.374849, 283.25, 210.936, 0.587766, 281.746, 220.391, 0.599261, 278.308, 220.176, 0.463793, 276.589, 218.242, 0.417962]","[115.798, 199.699, 0.345659, 121.378, 201.765, 0.534217, 126.957, 205.898, 0.73064, 129.643, 212.097, 0.688199, 131.916, 218.71, 0.759592, 116.832, 204.038, 0.315015, 114.145, 215.404, 0.511535, 115.178, 223.876, 0.657044, 116.005, 228.835, 0.565486, 111.666, 204.038, 0.300518, 109.186, 215.61, 0.430758, 110.219, 223.876, 0.559172, 112.492, 227.595, 0.341636, 108.979, 206.931, 0.323559, 105.673, 215.404, 0.374332, 108.566, 222.429, 0.304028, 111.666, 225.942, 0.31199, 108.773, 209.618, 0.220629, 106.293, 214.37, 0.214893, 106.706, 217.677, 0.202051, 107.326, 220.776, 0.196122]",False,False
1321,p_56,3,"[200.211, 90.1743, 0.89364, 185.327, 130.964, 0.792172, 145.887, 126.892, 0.826815, 126.913, 179.929, 0.7848, 120.11, 196.192, 0.780796, 223.385, 135.004, 0.845811, 245.211, 189.364, 0.863036, 266.865, 200.251, 0.881649, 186.707, 222.039, 0.744033, 162.222, 222.031, 0.713686, 158.12, 275.031, 0.792031, 182.601, 385.165, 0.706403, 211.14, 222.036, 0.77932, 250.545, 275.044, 0.727745, 241.081, 389.224, 0.682032, 190.719, 80.6418, 0.931245, 205.708, 80.6777, 0.891532, 175.807, 80.621, 0.857916, 212.528, 80.7165, 0.275037, 253.301, 427.259, 0.598939, 262.818, 420.476, 0.644183, 231.563, 397.384, 0.520073, 220.647, 410.968, 0.537824, 203.017, 412.323, 0.508369, 179.88, 394.608, 0.40826]","[269.927, 201.266, 0.440729, 265.844, 202.77, 0.611906, 261.761, 206.638, 0.71495, 261.332, 213.299, 0.693839, 262.191, 220.176, 0.580195, 275.729, 204.704, 0.607547, 273.151, 215.878, 0.642766, 268.638, 224.044, 0.630562, 267.134, 228.557, 0.557264, 280.027, 206.638, 0.57517, 275.3, 219.316, 0.735696, 271.432, 220.821, 0.500354, 269.712, 219.531, 0.363243, 281.961, 209.002, 0.74492, 278.523, 219.961, 0.541131, 274.87, 220.391, 0.528846, 272.291, 218.242, 0.375211, 283.251, 210.936, 0.587823, 281.746, 220.391, 0.596877, 278.308, 220.176, 0.462631, 276.589, 218.242, 0.417602]","[115.799, 199.699, 0.345619, 121.378, 201.765, 0.534169, 126.957, 205.898, 0.731546, 129.644, 212.097, 0.689223, 131.917, 218.71, 0.760197, 116.832, 204.038, 0.315951, 114.145, 215.403, 0.509164, 115.179, 223.876, 0.647924, 116.005, 228.835, 0.560542, 111.666, 204.245, 0.300998, 109.186, 215.61, 0.430074, 110.219, 223.876, 0.555365, 112.492, 227.595, 0.339092, 108.979, 206.931, 0.324791, 105.673, 215.403, 0.374909, 108.566, 222.429, 0.304538, 111.666, 225.942, 0.311832, 108.773, 209.617, 0.220878, 106.293, 214.37, 0.213809, 106.5, 217.883, 0.199936, 107.326, 220.776, 0.193688]",False,False
519,p_56,4,"[200.21, 90.1785, 0.894463, 185.326, 130.963, 0.791967, 145.887, 126.892, 0.826721, 126.913, 179.93, 0.785558, 120.107, 196.191, 0.781387, 223.385, 135.004, 0.845482, 245.21, 189.364, 0.863224, 266.87, 200.252, 0.881499, 186.709, 222.04, 0.744462, 162.225, 222.032, 0.713898, 158.115, 275.036, 0.794473, 182.601, 385.165, 0.706352, 211.141, 222.037, 0.779343, 250.548, 275.049, 0.729233, 241.072, 389.23, 0.681035, 190.719, 80.6449, 0.932577, 205.71, 80.6829, 0.891303, 175.808, 80.6216, 0.857865, 212.532, 80.7208, 0.272797, 253.301, 427.253, 0.597571, 262.817, 420.47, 0.643053, 231.56, 397.386, 0.520778, 220.645, 410.97, 0.537941, 203.016, 412.324, 0.50869, 179.882, 394.608, 0.408001]","[270.15, 201.482, 0.432534, 265.852, 202.771, 0.606909, 261.77, 206.639, 0.71626, 261.34, 213.301, 0.692321, 261.984, 219.962, 0.579106, 275.523, 204.705, 0.610159, 273.159, 215.879, 0.635114, 268.646, 224.045, 0.628372, 267.142, 228.558, 0.554866, 280.035, 206.639, 0.559095, 275.308, 219.318, 0.737506, 271.44, 220.822, 0.493779, 269.721, 219.532, 0.36539, 281.969, 209.003, 0.746957, 278.531, 219.962, 0.542341, 274.663, 220.392, 0.527264, 272.299, 218.243, 0.369963, 283.259, 210.937, 0.59525, 281.754, 220.392, 0.60432, 278.316, 220.177, 0.466145, 276.597, 218.243, 0.417728]","[115.794, 199.491, 0.346324, 121.373, 201.764, 0.534225, 126.953, 205.69, 0.731779, 129.639, 212.096, 0.689749, 131.912, 218.709, 0.762834, 116.827, 204.657, 0.306127, 114.141, 215.609, 0.531424, 115.174, 224.081, 0.682822, 116.207, 228.834, 0.564082, 111.661, 204.657, 0.287707, 109.181, 215.816, 0.428736, 110.215, 224.081, 0.565608, 112.488, 227.594, 0.344754, 108.975, 207.137, 0.326877, 105.668, 215.402, 0.37596, 108.561, 222.428, 0.298224, 111.661, 225.735, 0.303464, 108.561, 209.823, 0.22367, 106.288, 214.369, 0.215387, 106.702, 217.675, 0.210066, 107.528, 220.568, 0.201248]",False,False
1399,p_56,5,"[200.21, 90.1785, 0.894427, 185.326, 130.963, 0.792075, 145.886, 126.892, 0.826694, 126.913, 179.93, 0.785604, 120.107, 196.191, 0.781335, 223.385, 135.004, 0.845575, 245.21, 189.364, 0.863247, 266.87, 200.253, 0.881419, 186.709, 222.039, 0.744384, 162.224, 222.031, 0.713828, 158.116, 275.027, 0.792324, 182.601, 385.165, 0.706363, 211.141, 222.036, 0.779582, 250.548, 275.047, 0.728811, 241.071, 389.23, 0.681015, 190.719, 80.6448, 0.932574, 205.71, 80.6829, 0.891314, 175.808, 80.6215, 0.857777, 212.532, 80.7208, 0.272588, 253.301, 427.253, 0.597427, 262.817, 420.469, 0.643045, 231.56, 397.386, 0.5208, 220.645, 410.97, 0.538163, 203.016, 412.325, 0.508921, 179.882, 394.607, 0.407575]","[270.15, 201.482, 0.432988, 265.852, 202.771, 0.606869, 261.769, 206.639, 0.71609, 261.34, 213.301, 0.693485, 261.984, 219.963, 0.580151, 275.523, 204.705, 0.609761, 273.159, 215.88, 0.635228, 268.646, 224.046, 0.62737, 267.142, 228.558, 0.552033, 280.035, 206.639, 0.558699, 275.308, 219.318, 0.736553, 271.44, 220.822, 0.497849, 269.72, 219.533, 0.368238, 281.969, 209.003, 0.745738, 278.531, 219.963, 0.542171, 274.663, 220.392, 0.528546, 272.299, 218.244, 0.370559, 283.259, 210.937, 0.595983, 281.755, 220.392, 0.602956, 278.316, 220.178, 0.466323, 276.597, 218.244, 0.417094]","[115.794, 199.491, 0.343411, 121.373, 201.764, 0.53325, 126.953, 205.69, 0.73043, 129.639, 212.096, 0.69023, 131.912, 218.709, 0.764135, 116.827, 204.451, 0.305561, 114.141, 215.609, 0.530257, 115.174, 224.082, 0.680254, 116.207, 228.834, 0.56433, 111.661, 204.244, 0.295276, 109.182, 215.816, 0.429946, 110.215, 223.875, 0.568794, 112.281, 227.388, 0.346704, 108.975, 206.93, 0.321966, 105.669, 215.403, 0.372096, 108.355, 222.222, 0.296005, 111.661, 225.735, 0.297825, 108.562, 209.41, 0.218591, 106.289, 214.163, 0.213983, 106.702, 217.676, 0.208005, 107.528, 220.569, 0.199936]",False,False
990,p_56,6,"[200.21, 90.1784, 0.894389, 185.327, 130.962, 0.792093, 145.887, 126.892, 0.827001, 126.913, 179.929, 0.785383, 120.107, 196.191, 0.781363, 223.384, 135.003, 0.845578, 245.21, 189.364, 0.863256, 266.87, 200.253, 0.881429, 186.709, 222.039, 0.744434, 162.224, 222.03, 0.713815, 158.116, 275.027, 0.792308, 182.601, 385.165, 0.706332, 211.141, 222.036, 0.779638, 250.548, 275.047, 0.728815, 241.071, 389.23, 0.681003, 190.719, 80.6448, 0.932569, 205.71, 80.6829, 0.891288, 175.808, 80.6215, 0.857739, 212.532, 80.7207, 0.272476, 253.3, 427.253, 0.59735, 262.817, 420.469, 0.643097, 231.56, 397.386, 0.520877, 220.645, 410.97, 0.538149, 203.016, 412.325, 0.508883, 179.882, 394.607, 0.407588]","[270.15, 201.482, 0.433191, 265.852, 202.771, 0.60734, 261.769, 206.639, 0.716055, 261.34, 213.301, 0.693622, 261.984, 219.963, 0.580211, 275.523, 204.705, 0.609966, 273.159, 215.88, 0.636164, 268.646, 224.046, 0.627214, 267.142, 228.558, 0.551928, 280.035, 206.639, 0.560035, 275.308, 219.318, 0.735527, 271.44, 220.822, 0.498758, 269.72, 219.533, 0.368964, 281.969, 209.003, 0.745333, 278.531, 219.963, 0.542531, 274.663, 220.393, 0.529573, 272.299, 218.244, 0.371446, 283.259, 210.937, 0.595768, 281.754, 220.393, 0.603045, 278.316, 220.178, 0.466629, 276.597, 218.244, 0.417811]","[115.794, 199.491, 0.346473, 121.374, 201.764, 0.535055, 126.953, 205.69, 0.732865, 129.639, 212.096, 0.689992, 131.912, 218.708, 0.762969, 116.827, 204.657, 0.306724, 114.141, 215.609, 0.532126, 115.174, 224.081, 0.683923, 116.208, 228.834, 0.564201, 111.662, 204.657, 0.287422, 109.182, 215.815, 0.427992, 110.215, 224.081, 0.565123, 112.488, 227.594, 0.345971, 108.975, 207.136, 0.327146, 105.669, 215.402, 0.376717, 108.562, 222.428, 0.298705, 111.662, 225.734, 0.304939, 108.562, 209.616, 0.223578, 106.289, 214.369, 0.216128, 106.702, 217.675, 0.211126, 107.529, 220.568, 0.202993]",False,False
1289,p_56,7,"[200.21, 90.1785, 0.894395, 185.327, 130.963, 0.792116, 145.887, 126.892, 0.826939, 126.914, 179.929, 0.785405, 120.107, 196.191, 0.781378, 223.384, 135.003, 0.845535, 245.21, 189.364, 0.863241, 266.87, 200.252, 0.881464, 186.709, 222.039, 0.744342, 162.224, 222.03, 0.713813, 158.116, 275.027, 0.792309, 182.601, 385.165, 0.706332, 211.141, 222.036, 0.779561, 250.548, 275.046, 0.728846, 241.071, 389.23, 0.681011, 190.719, 80.6449, 0.932575, 205.71, 80.6829, 0.891279, 175.808, 80.6215, 0.857759, 212.532, 80.7207, 0.27244, 253.301, 427.253, 0.597454, 262.817, 420.469, 0.6431, 231.56, 397.386, 0.520854, 220.645, 410.97, 0.538138, 203.016, 412.325, 0.508912, 179.882, 394.607, 0.407561]","[270.15, 201.482, 0.433191, 265.852, 202.771, 0.60734, 261.769, 206.639, 0.716055, 261.34, 213.301, 0.693622, 261.984, 219.963, 0.580211, 275.523, 204.705, 0.609966, 273.159, 215.88, 0.636164, 268.646, 224.046, 0.627214, 267.142, 228.558, 0.551928, 280.035, 206.639, 0.560035, 275.308, 219.318, 0.735527, 271.44, 220.822, 0.498758, 269.72, 219.533, 0.368964, 281.969, 209.003, 0.745333, 278.531, 219.963, 0.542531, 274.663, 220.392, 0.529573, 272.299, 218.244, 0.371446, 283.259, 210.937, 0.595768, 281.755, 220.392, 0.603045, 278.316, 220.178, 0.466629, 276.597, 218.244, 0.417811]","[115.794, 199.491, 0.346473, 121.374, 201.764, 0.535055, 126.953, 205.69, 0.732865, 129.639, 212.096, 0.689992, 131.912, 218.708, 0.762969, 116.827, 204.657, 0.306724, 114.141, 215.609, 0.532126, 115.174, 224.081, 0.683923, 116.208, 228.834, 0.564201, 111.661, 204.657, 0.287422, 109.182, 215.815, 0.427992, 110.215, 224.081, 0.565123, 112.488, 227.594, 0.345971, 108.975, 207.136, 0.327146, 105.669, 215.402, 0.376717, 108.562, 222.428, 0.298705, 111.661, 225.734, 0.304939, 108.562, 209.616, 0.223578, 106.289, 214.369, 0.216128, 106.702, 217.675, 0.211126, 107.529, 220.568, 0.202993]",False,False
867,p_56,8,"[200.21, 90.1785, 0.894413, 185.327, 130.962, 0.792132, 145.887, 126.892, 0.827007, 126.914, 179.929, 0.785539, 120.107, 196.191, 0.781371, 223.385, 135.003, 0.845542, 245.21, 189.364, 0.863189, 266.87, 200.252, 0.881529, 186.708, 222.039, 0.744469, 162.224, 222.031, 0.714083, 158.115, 275.022, 0.791027, 182.601, 385.161, 0.707482, 211.141, 222.036, 0.779598, 250.547, 275.048, 0.72883, 241.071, 390.551, 0.67986, 190.719, 80.6448, 0.932609, 205.71, 80.6828, 0.891298, 175.808, 80.6215, 0.857789, 212.532, 80.7207, 0.272515, 253.299, 427.252, 0.597646, 262.811, 420.469, 0.646632, 231.557, 397.397, 0.510317, 219.332, 410.957, 0.535631, 203.011, 412.317, 0.508251, 179.88, 393.299, 0.409942]","[270.15, 201.482, 0.43294, 265.852, 202.771, 0.607047, 261.769, 206.639, 0.716363, 261.34, 213.301, 0.692651, 261.984, 219.963, 0.578089, 275.522, 204.705, 0.609677, 273.159, 215.88, 0.635172, 268.646, 224.046, 0.627088, 267.142, 228.558, 0.551724, 280.035, 206.639, 0.558763, 275.308, 219.318, 0.736432, 271.44, 220.822, 0.497364, 269.72, 219.533, 0.367845, 281.969, 209.003, 0.745736, 278.531, 219.963, 0.542103, 274.663, 220.392, 0.528324, 272.299, 218.244, 0.370387, 283.259, 210.937, 0.59592, 281.754, 220.392, 0.603085, 278.316, 220.178, 0.466278, 276.597, 218.244, 0.417183]","[115.794, 199.491, 0.346466, 121.373, 201.764, 0.535019, 126.953, 205.69, 0.732786, 129.639, 212.096, 0.689909, 131.912, 218.709, 0.761593, 116.827, 204.657, 0.306621, 114.141, 215.609, 0.532421, 115.174, 224.081, 0.684136, 116.207, 228.834, 0.564448, 111.661, 204.657, 0.287343, 109.182, 215.816, 0.428535, 110.215, 224.081, 0.565328, 112.488, 227.594, 0.346325, 108.975, 207.137, 0.327082, 105.669, 215.402, 0.376348, 108.562, 222.428, 0.29881, 111.661, 225.734, 0.304948, 108.562, 209.616, 0.223595, 106.289, 214.369, 0.216196, 106.702, 217.675, 0.21118, 107.528, 220.568, 0.203]",False,False
569,p_56,9,"[200.21, 90.1785, 0.894414, 185.327, 130.962, 0.792127, 145.887, 126.892, 0.826986, 126.913, 179.929, 0.78563, 120.106, 196.191, 0.781283, 223.385, 135.003, 0.845539, 245.21, 189.364, 0.863196, 266.87, 200.252, 0.881534, 186.709, 222.039, 0.74449, 162.224, 222.031, 0.713861, 158.114, 275.016, 0.789591, 182.601, 385.165, 0.706151, 211.141, 222.037, 0.779697, 250.548, 275.049, 0.729104, 241.072, 389.23, 0.681011, 190.719, 80.6448, 0.932611, 205.71, 80.6829, 0.891303, 175.808, 80.6215, 0.857794, 212.532, 80.7207, 0.272516, 253.301, 427.253, 0.597658, 262.816, 420.47, 0.643234, 231.56, 397.385, 0.52062, 220.646, 410.97, 0.538718, 203.016, 412.325, 0.509692, 179.881, 394.607, 0.407658]","[270.15, 201.482, 0.432972, 265.852, 202.771, 0.607094, 261.769, 206.639, 0.716385, 261.34, 213.301, 0.692822, 261.984, 219.963, 0.578444, 275.522, 204.705, 0.609707, 273.159, 215.88, 0.635242, 268.646, 224.046, 0.627271, 267.142, 228.558, 0.553248, 280.035, 206.639, 0.55878, 275.308, 219.318, 0.736545, 271.439, 220.822, 0.495407, 269.72, 219.533, 0.366538, 281.969, 209.003, 0.745736, 278.531, 219.963, 0.541991, 274.663, 220.392, 0.527849, 272.299, 218.243, 0.370093, 283.259, 210.937, 0.595885, 281.754, 220.392, 0.603054, 278.316, 220.178, 0.466253, 276.597, 218.243, 0.416875]","[115.794, 199.491, 0.343312, 121.373, 201.764, 0.533517, 126.952, 205.69, 0.731777, 129.639, 212.096, 0.689649, 131.912, 218.708, 0.762561, 116.827, 204.657, 0.307262, 114.141, 215.609, 0.531535, 115.174, 224.081, 0.682669, 116.207, 228.834, 0.565313, 111.661, 204.45, 0.291432, 109.181, 215.815, 0.429377, 110.214, 224.081, 0.56848, 112.281, 227.387, 0.345421, 108.975, 206.93, 0.32429, 105.668, 215.402, 0.373506, 108.355, 222.221, 0.295037, 111.661, 225.734, 0.297103, 108.561, 209.616, 0.220469, 106.288, 214.162, 0.214877, 106.701, 217.675, 0.209187, 107.528, 220.568, 0.200461]",False,False
